Date,Open,High,Low,Close,Adj Close,Volume
2/01/2015,56.009998,56.799999,54.650002,55.34,55.34,1648400
5/01/2015,56.34,57.48,55.68,55.959999,55.959999,3149600
6/01/2015,55.84,56.150002,54.419998,55.57,55.57,3406200
7/01/2015,56.27,58.009998,56.16,57.650002,57.650002,5047500
8/01/2015,58.25,59.650002,58,59.07,59.07,5225200
9/01/2015,58.869999,59.220001,57.849998,58.630001,58.630001,2238100
12/01/2015,62.400002,63.799999,61.360001,62.59,62.59,10326700
13/01/2015,62.700001,64.269997,62.689999,63.060001,63.060001,3620000
14/01/2015,62.32,63.400002,61.5,63.400002,63.400002,3441700
15/01/2015,63.470001,63.900002,62.049999,62.509998,62.509998,2428100
16/01/2015,62.25,63.049999,61.360001,63,63,2405900
20/01/2015,63,63.23,62.290001,63,63,1698100
21/01/2015,63,63.59,62.52,62.860001,62.860001,1685500
22/01/2015,63.029999,64.279999,62.369999,63.759998,63.759998,1996500
23/01/2015,65.769997,66.709999,65.400002,66.199997,66.199997,4607700
26/01/2015,65.940002,66.760002,65.18,66.760002,66.760002,2095300
27/01/2015,66.129997,67.709999,65.550003,67.480003,67.480003,1900400
28/01/2015,67.550003,67.690002,66.040001,66.160004,66.160004,1664900
29/01/2015,65.980003,67.459999,65.82,67.190002,67.190002,2093900
30/01/2015,66.900002,67.040001,65.849998,66.239998,66.239998,2603700
2/02/2015,66.239998,66.470001,64.830002,65.519997,65.519997,2317500
3/02/2015,65.589996,66.739998,65.220001,66.489998,66.489998,2051400
4/02/2015,66.400002,66.949997,65.580002,65.660004,65.660004,1764100
5/02/2015,65.739998,65.989998,64.910004,65.290001,65.290001,1624600
6/02/2015,65.230003,65.459999,64.040001,64.440002,64.440002,1959900
9/02/2015,64.290001,65.669998,64.209999,65.43,65.43,1311300
10/02/2015,65.540001,66.150002,65.18,65.760002,65.760002,978300
11/02/2015,65.129997,65.849998,64.849998,65.589996,65.589996,972600
12/02/2015,65.629997,66.400002,64.699997,66.040001,66.040001,1145000
13/02/2015,66.199997,66.629997,65.669998,65.980003,65.980003,1133400
17/02/2015,65.510002,66.239998,64.849998,66,66,1140700
18/02/2015,65.769997,66.989998,65.5,66.419998,66.419998,1075500
19/02/2015,66.419998,67.900002,66.419998,66.889999,66.889999,1299200
20/02/2015,67.059998,67.550003,66.360001,67.370003,67.370003,1038600
23/02/2015,67,67.25,65.970001,66.080002,66.080002,1215800
24/02/2015,66.099998,66.690002,65.769997,66.099998,66.099998,808000
25/02/2015,66.160004,67.690002,65.830002,67.089996,67.089996,1334700
26/02/2015,67.199997,67.470001,66.300003,66.480003,66.480003,1123100
27/02/2015,66.650002,68.690002,66.419998,68.440002,68.440002,2116600
2/03/2015,68.589996,68.989998,66.540001,67.489998,67.489998,1733600
3/03/2015,67.169998,67.470001,65.470001,65.870003,65.870003,1664200
4/03/2015,65.699997,66.330002,64.860001,65.519997,65.519997,1459800
5/03/2015,65.639999,68,64.730003,64.849998,64.849998,2183300
6/03/2015,62.16,62.59,60.549999,62.299999,62.299999,5404100
9/03/2015,62.299999,62.490002,61.380001,62.240002,62.240002,2136800
