Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2/03/2015,,,,
3/03/2015,-0.001265508,-0.004980519,-0.000495532,-0.00656867
4/03/2015,0.002229913,0.00324128,-0.002533977,0.004213019
5/03/2015,0.004016002,0.004076053,0.002354657,0.00672633
6/03/2015,-0.007905357,-0.003574034,-0.008481173,-0.013098061
9/03/2015,0.00058228,0.00422541,0.005842736,-0.001652455
10/03/2015,-0.010262967,-0.005340724,-0.012079154,-0.009739028
11/03/2015,0.004011921,0.005163143,0.003311826,-0.001146676
12/03/2015,0.00826463,0.010271619,0.01311689,0.010801418
13/03/2015,-0.002497275,-0.001428416,-0.003697187,-0.008142218
16/03/2015,0.007900621,0.003582534,0.007953005,0.008054624
17/03/2015,0.002141904,0.002928106,-0.000687182,0.000384357
18/03/2015,0.009602759,0.007513097,0.00955688,0.007853525
19/03/2015,-0.000778477,-0.002554227,-0.002925094,0.002362937
20/03/2015,0.0096573,0.000983377,0.007390779,0.007104656
23/03/2015,-6.67E-05,-0.0005135,-0.000108753,0.000591099
24/03/2015,-0.002570523,-0.004808023,-0.003320926,-0.001012994
25/03/2015,-0.006156197,-0.008018356,-0.011171537,-0.014567301
26/03/2015,-0.00209788,-0.000592914,-0.001034535,-0.001211623
27/03/2015,-7.50E-05,0.002087889,0.002189585,0.004775707
30/03/2015,0.008112674,0.002219686,0.008616824,0.005227895
31/03/2015,-0.005444593,-0.003021171,-0.003968001,0.00185806
1/04/2015,0.000918528,0.000156815,-0.002001537,-0.003865396
2/04/2015,0.002561296,0.004299034,0.00305813,0.00196643
6/04/2015,0.005367594,0.003763108,0.004631174,0.004920475
7/04/2015,-0.001242609,-0.000171479,-0.002059815,0.00188225
8/04/2015,0.006185463,0.012652294,0.003452016,0.012351575
9/04/2015,0.004035616,0.003231504,-0.000452619,-0.001904683
10/04/2015,-9.02E-05,0.001230213,0.002385874,0.001661398
13/04/2015,-0.003447611,-0.002766344,-0.004071748,-0.003073782
14/04/2015,0.003392775,0.002021444,0.002141971,0.007515956
15/04/2015,0.00475577,0.001752668,0.003753945,0.004871806
16/04/2015,-0.002110842,-0.003231826,0.000510125,0.000102473
17/04/2015,-0.009431568,-0.002200963,-0.010617456,-0.013045667
20/04/2015,-0.000507573,0.001238745,0.006252429,0.000780097
21/04/2015,0.00426572,0.004629489,0.004878592,0.007804664
22/04/2015,0.00097416,-0.000827268,0.008590965,0.003767685
23/04/2015,0.001066555,0.002972371,0.000736444,0.007060748
24/04/2015,0.003218163,0.000466606,0.001550174,0.0002595
27/04/2015,-0.002620081,-0.011321296,-0.00381151,-0.002663719
28/04/2015,-0.000455319,0.00188613,0.00273113,-0.004364477
29/04/2015,-0.004232729,0.001443409,-0.00076022,-0.005849478
30/04/2015,-0.009174576,-0.004279583,-0.010341231,-0.007964248
1/05/2015,0.006051125,0.002551181,0.006526302,0.009650243
4/05/2015,0.003133127,0.000620641,0.002410865,0.003732151
5/05/2015,-0.012248413,-0.00348093,-0.006610154,-0.014421071
6/05/2015,0.00044335,-0.003400236,-0.005486683,-0.005900262
7/05/2015,0.008045893,0.004369826,0.002093555,0.007973106
8/05/2015,0.006919051,0.006408434,0.008641432,0.005774652
11/05/2015,-0.002807456,-0.000463437,-0.006247434,-0.00078148
12/05/2015,0.000853872,-0.000780824,-0.003578166,-0.00793155
13/05/2015,0,0,0,0
14/05/2015,0,0,0,0
15/05/2015,0.003392027,0.000347435,0.002330222,0.005031992
18/05/2015,0.001025397,0.004321057,0.002333081,0.002299543
19/05/2015,-0.001098655,-0.000593672,0.002077732,-0.000825185
20/05/2015,-0.001873225,0.001273743,0.000438294,0.001162462
21/05/2015,0.002224607,0.003177998,0.000917473,0.00459676
22/05/2015,0.000541759,0.000292061,0.000734415,0.005267552
26/05/2015,-0.008718305,0.000967645,-0.007167085,-0.003362259
27/05/2015,0.005535939,0.00338268,0.005831381,0.003505379
28/05/2015,-0.001598736,0.000619034,-0.001491396,-0.008909478
29/05/2015,-0.001533117,5.87E-05,-0.00497334,-0.005497828
1/06/2015,0.002081276,-0.000112962,0.000836706,0.002915761
2/06/2015,0.003203909,0.000480075,-0.001260949,0.000717483
